Target_1,Output_1,Target_2,Output_2,Target_3,Output_3,Target_4,Output_4,Target_5,Output_5,Target_6,Output_6,Target_7,Output_7,Target_8,Output_8,Target_9,Output_9,Target_10,Output_10,Target_11,Output_11
169,240,323,403,508,627,693,825,693,868,878,1005,1063,1228,1217,1412,1402,1628,1600,1703,1600,1703
353,485,672,882,1056,1277,1440,1652,1440,1775,1824,2149,2208,2558,2527,2936,2911,3331,3300,3684,3300,3712
353,430,672,823,1056,1240,1440,1440,1440,1870,1824,2264,2208,2475,2527,2995,2911,3300,3300,3500,3300,3514
353,386,672,646,1056,1102,1440,1500,1440,1786,1824,2167,2208,2445,2527,2845,2911,3214,3300,3602,3300,3712
106,102,202,225,319,310,436,435,436,470,553,580,670,715,766,810,883,939,1000,1028,1000,1028
106,114,202,212,319,316,436,392,436,431,553,566,670,701,766,809,883,953,1000,1000,1000,1000
106,122,202,224,319,352,436,430,436,441,553,485,670,702,766,805,883,920,1000,1002,1000,1002
106,119,202,219,319,254,436,310,436,325,553,393,670,481,766,565,883,642,1000,728,1000,767
106,64,202,122,319,193,436,252,436,281,553,362,670,436,766,506,883,569,1000,611,1000,651
106,73,202,117,319,151,436,187,436,203,553,389,670,477,766,537,883,584,1000,622,1000,648
85,66,162,163,254,250,346,323,346,349,438,419,530,489,607,565,699,634,800,689,800,748
85,101,162,207,254,280,346,363,346,382,438,499,530,548,607,599,699,676,800,798,800,833
85,63,162,118,254,204,346,323,346,349,438,427,530,510,607,589,699,664,800,735,800,779
96,12,182,75,286,138,390,189,390,283,494,293,598,392,684,479,788,596,900,664,900,680
175,192,336,399,525,596,714,775,714,823,903,931,1092,1084,1253,1277,1442,1426,1511,1547,1511,1624
175,205,336,427,525,652,714,845,714,930,903,966,1092,1160,1253,1258,1442,1476,1511,1643,1511,1763
175,159,336,300,525,463,714,612,714,720,903,878,1092,977,1253,1064,1442,1216,1511,1349,1511,1398
175,147,336,287,525,437,714,634,714,730,903,916,1092,1109,1253,1261,1442,1452,1511,1607,1511,1658
92,59,175,161,274,235,373,328,373,372,472,467,571,558,654,658,753,742,800,831,800,831
137,106,261,253,409,379,557,547,557,576,705,681,853,822,977,932,1125,1061,1200,1176,1200,1176
137,55,261,129,409,274,557,478,557,487,705,549,853,566,977,569,1125,578,1200,580,1200,580
137,41,261,123,409,240,557,361,557,425,705,600,853,764,977,911,1125,1065,1200,1154,1200,1154
228,189,435,412,682,631,929,848,929,965,1176,1187,1423,1439,1630,1590,1877,1869,2000,2099,2000,2099
228,246,435,456,682,675,929,923,929,1084,1176,1289,1423,1514,1630,1708,1877,1900,2000,2106,2000,2106
228,200,435,450,682,657,929,900,929,1000,1176,1250,1423,1450,1630,1660,1877,1951,2000,2150,2000,2150
188,132,358,303,561,471,764,648,764,724,967,896,1170,1037,1340,1177,1543,1335,1650,1459,1650,1600
188,182,358,340,561,503,764,672,764,730,967,922,1170,1080,1340,1233,1543,1403,1650,1578,1650,1634
183,107,349,262,547,417,745,563,745,609,943,777,1141,945,1307,1110,1505,1267,1600,1428,1600,1428
183,204,349,378,547,546,745,685,745,696,943,878,1141,1047,1307,1152,1505,1324,1600,1436,1600,1447
183,118,349,196,547,497,745,577,745,763,943,903,1141,1038,1307,1130,1505,1462,1600,1557,1600,1566
92,67,175,176,274,285,373,332,373,361,472,475,571,605,654,627,753,700,800,705,800,705
92,71,175,163,274,235,373,307,373,328,472,397,571,470,654,573,753,637,800,697,800,747
92,44,175,108,274,171,373,266,373,321,472,402,571,476,654,537,753,609,800,674,800,708
182,293,346,438,544,650,742,853,742,893,940,1035,1138,1247,1302,1378,1500,1514,1700,1651,1700,1699
182,205,346,331,544,501,742,698,742,766,940,990,1138,1186,1302,1357,1500,1519,1700,1709,1700,1711
182,250,346,410,544,549,742,709,742,754,940,909,1138,1109,1302,1248,1500,1381,1700,1543,1700,1595
182,200,346,363,544,509,742,671,742,716,940,898,1138,1061,1302,1198,1500,1359,1700,1498,1700,1546
115,171,219,273,343,404,467,506,467,559,591,680,715,861,819,950,943,1103,1000,1215,1000,1215
115,112,219,230,343,352,467,470,467,517,591,640,715,753,819,857,943,963,1000,1083,1000,1137
115,132,219,227,343,330,467,456,467,517,591,611,715,730,819,827,943,950,1000,1035,1000,1040
115,10,219,120,343,290,467,434,467,482,591,667,715,803,819,918,943,983,1000,1267,1000,1334
131,74,250,171,392,304,534,411,534,500,676,573,818,728,937,844,1079,965,1150,1080,1150,1101
